cycle,stage,L_grip_A,strain_percent,energy_eV,max_nn_A,nn0_A,fracture_thr_A,broken
19,relax,9.785682498592617,20.810895044353384,-16429.09286832747,2.8781072083629917,2.8637824638055194,8.591347391416559,0
20,stretch,9.883539323578553,22.01900399479704,-16424.04040364546,2.878111076101892,2.8637824638055194,8.591347391416559,0
20,relax,9.883539323578553,22.01900399479704,-16424.25757363568,2.879937504289142,2.8637824638055194,8.591347391416559,0
21,stretch,9.982374716814338,23.23919403474499,-16419.067243544378,2.87993751820418,2.8637824638055194,8.591347391416559,0
21,relax,9.982374716814338,23.23919403474499,-16419.072967446024,2.8797973469711975,2.8637824638055194,8.591347391416559,0
22,stretch,10.082198463982479,24.471585975092424,-16413.585292278076,2.8797973644216865,2.8637824638055194,8.591347391416559,0
22,relax,10.082198463982479,24.471585975092424,-16413.994098021652,2.880253061087998,2.8637824638055194,8.591347391416559,0
23,stretch,10.183020448622297,25.716301834843257,-16408.48512846426,2.8802666955428626,2.8637824638055194,8.591347391416559,0
23,relax,10.183020448622297,25.716301834843257,-16408.489970666105,2.8802445444797464,2.8637824638055194,8.591347391416559,0
24,stretch,10.284850653108524,26.973464853191743,-16402.689772768303,2.88025814503535,2.8637824638055194,8.591347391416559,0
24,relax,10.284850653108524,26.973464853191743,-16403.032603079482,2.9079222009916705,2.8637824638055194,8.591347391416559,0
25,stretch,10.38769915963961,28.24319950172367,-16397.193736140664,2.9079953218581176,2.8637824638055194,8.591347391416559,0
25,relax,10.38769915963961,28.24319950172367,-16397.19792151057,2.9075468787701086,2.8637824638055194,8.591347391416559,0
26,stretch,10.491576151236014,29.525631496741013,-16391.089791952414,2.907620898203108,2.8637824638055194,8.591347391416559,0
26,relax,10.491576151236014,29.525631496741013,-16391.09675960858,2.907265981634609,2.8637824638055194,8.591347391416559,0
27,stretch,10.596491912748377,30.82088781170844,-16384.738979880454,2.9073409650454125,2.8637824638055194,8.591347391416559,0
27,relax,10.596491912748377,30.82088781170844,-16385.31985193063,2.9031398322907305,2.8637824638055194,8.591347391416559,0
28,stretch,10.70245683187586,32.12909668982553,-16378.989986200333,2.903240010786896,2.8637824638055194,8.591347391416559,0
28,relax,10.70245683187586,32.12909668982553,-16379.12867123163,2.9142848075744543,2.8637824638055194,8.591347391416559,0
29,stretch,10.809481400194617,33.45038765672377,-16372.658129262802,2.9144038788318314,2.8637824638055194,8.591347391416559,0
29,relax,10.809481400194617,33.45038765672377,-16374.469955818231,2.9134746283178403,2.8637824638055194,8.591347391416559,0
30,stretch,10.917576214196565,34.78489153329103,-16368.865222077075,2.914846161807391,2.8637824638055194,8.591347391416559,0
30,relax,10.917576214196565,34.78489153329103,-16368.882855171962,2.9144868405884816,2.8637824638055194,8.591347391416559,0
31,stretch,11.026751976338534,36.13274044862398,-16363.10823979375,2.915896108030527,2.8637824638055194,8.591347391416559,0
31,relax,11.026751976338534,36.13274044862398,-16366.606986708839,2.932169694493419,2.8637824638055194,8.591347391416559,0
32,stretch,11.137019496101917,37.49406785311018,-16362.231243061628,2.932186788203641,2.8637824638055194,8.591347391416559,0
32,relax,11.137019496101917,37.49406785311018,-16373.15478073942,2.985632818695422,2.8637824638055194,8.591347391416559,0
33,stretch,11.248389691062936,38.86900853164128,-16370.713919869795,2.985685628042861,2.8637824638055194,8.591347391416559,0
33,relax,11.248389691062936,38.86900853164128,-16370.922611046557,2.9918404184411056,2.8637824638055194,8.591347391416559,0
34,stretch,11.360873587973565,40.2576986169577,-16368.335828670397,2.9944372466524887,2.8637824638055194,8.591347391416559,0
34,relax,11.360873587973565,40.2576986169577,-16369.739776858381,2.963133139670366,2.8637824638055194,8.591347391416559,0
35,stretch,11.474482323853305,41.66027560312733,-16367.601506519506,2.9640372961827532,2.8637824638055194,8.591347391416559,0
